id,slug,title,description,content,published_at,created_at,updated_at
0027af6a-4f47-4812-97aa-97971af835f0,cara-cancel-dan-amend-order-saham,Cara Cancel dan Amend Order Saham,,"Sebelum melakukan cancel atau amend, pastikan kamu sudah membuat order pembelian atau penjualan saham.

# Cancel

1. Dari halaman Home Bibit, klik ${color}[#00ab6b](**Transaksi**) pada icon pojok kanan bawah.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_jclao8.jpg)

2. Pilih menu ${color}[#00ab6b](**Order**), lalu klik ${color}[#00ab6b](**Saham**) dan klik order ${color}[#00ab6b](**Beli**) atau ${color}[#00ab6b](**Jual**) sahamnya.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_uymiq5.jpg)

3. Klik ${color}[#00ab6b](**Cancel Order.**)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-3_1oztxvv.jpg)

4. Klik ${color}[#00ab6b](**Yakin**) untuk melanjutkan prosesnya. 
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-4_tn5gn1.jpg)

5. Klik ${color}[#00ab6b](**Oke.**)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-5_1yyhdr2.jpg)

6. Status order akan berubah menjadi withdrawn dan nilai transaksi dikembalikan ke sumbernya (Saldo Trading/RDN Wallet/Portofolio)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-6_i4blwu.jpg)


# Amend

1. Dari halaman Home Bibit, klik ${color}[#00ab6b](**Transaksi**) pada icon pojok kanan bawah.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_1ljo98i.jpg)

2. Pilih menu ${color}[#00ab6b](**Order**), lalu klik ${color}[#00ab6b](**Saham**) dan klik order ${color}[#00ab6b](**Beli**) atau ${color}[#00ab6b](**Jual**) sahamnya.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_8ay4ut.jpg)

3. Klik ${color}[#00ab6b](**Amend.**)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-8_h7nekb.jpg)

4. Kamu bisa ubah nilai harga atau jumlah lot sesuai yang diinginkan, lalu klik ${color}[#00ab6b](**Amend.**)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-9_9ggsop.jpg)

5. Klik ${color}[#00ab6b](**Konfirmasi.**)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-10_1ugnysz.jpg)

6. Order terbaru akan diproses (Open) dan status order sebelumnya berubah menjadi Amended.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-11_ywidz4.jpg)",09/27/2023 08:42:27,09/25/2023 08:13:45,09/27/2023 08:42:27
00d087ff-31a4-4098-ab11-c15f91b0de88,transfer-pembelian-reksa-dana-pakai-aplikasi-dana,Transfer Pembelian Reksa Dana Pakai Aplikasi Dana,Panduan Pembelian Reksa Dana Menggunakan Aplikasi Dana,"### Panduan Pembelian Reksa Dana dan Transfer Pembayaran menggunakan Aplikasi DANA

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/1_1s88m2j.jpg)
1. **Klik ${color}[#00ab6b](Investasi Sekarang.)**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/2_accv1e.jpg)
2. **Input ${color}[#00ab6b](Nominal Pembelian) minimal 100.000, lalu klik ${color}[#00ab6b](Beli.)**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/3_1wrmltg.jpg)
3. **${color}[#00ab6b](Check List), lalu Klik ${color}[#00ab6b](Confirm.)**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/img_20200211_163133_1yp5kmf.jpg)
4. **Pilih ${color}[#00ab6b](Virtual Account), lalu Klik ${color}[#00ab6b](Bayar.)**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/img20200906191308_nd8e0z.jpg)
5. ** Pilih ${color}[#00ab6b](BNI), lalu Klik ${color}[#00ab6b](Bayar)**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/img20200906191341_60r8z4.jpg)
6. **Transfer ke ${color}[#00ab6b](nomor Virtual Account BNI) sesuai nominal order menggunakan aplikasi DANA kamu. **

7. **Tunggu beberapa saat, maka order kamu akan otomatis diterima tanpa perlu upload bukti transfer.**",07/22/2019 07:36:28,07/22/2019 07:00:35,09/16/2022 07:06:11
00fa91b9-4b6a-4936-a824-40461faac0be,kenapa-saldo-investasi-saya-di-bibit-dan-akses-ksei-beda,Kenapa Saldo Investasi Saya di Bibit dan AKSes KSEI Beda?,Penjelasan mengenai perbedaan saldo Innvestasi di Bibit & KSEI.,"Saldo portofolio reksa dana kamu baru akan diupdate di AKSes KSEI setelah unit reksadana masuk.

**A. Pembayaran sebelum jam 13.00 WIB**
1. Transaksi akan diverifikasi oleh Manajer Investasi pada hari yang sama (Senin jam 22:00 WIB)
2. Proses pembelian akan selesai pada hari bursa berikutnya sekitar jam 22.00 WIB (Selasa)
3. Saldo portofolio kamu akan diupdate di AKSes KSEI pada hari Selasa sekitar jam 22.00 WIB.

**B. Pembayaran setelah jam 13.00 WIB**
1. Transaksi akan diverifikasi oleh Manajer Investasi pada hari bursa berikutnya (Selasa jam 22:00 WIB) 
2. Proses pembelian akan selesai di hari bursa selanjutnya sekitar jam 22.00 WIB (Rabu)
3. Saldo portofolio kamu akan diupdate di AKSes KSEI pada hari Rabu sekitar jam 22.00 WIB.

Ini juga berlaku untuk transaksi penjualan reksa dana _(redemtion)_.

Catatan: Sabtu/Minggu/Hari libur tidak termasuk hari kerja.",02/10/2021 05:07:13,02/10/2021 04:53:28,07/13/2022 02:59:30
017b51a4-b964-43ca-9d3d-4c24a54f2097,kapan-penjualan-selesai-dan-dapat-harga-jual-hari-apa,Kapan Penjualan Selesai dan Dapat Harga Jual Hari Apa?,Penjelasan mengenai waktu penjualan selesai.,"${youtube}[Video Penjelasan Waktu Penyelesaian Transaksi Jual dan Perolehan NAB Jual](3m2w1qpF1B0)

||| Bibit memiliki kebijakan batas waktu penjualan yang diproses pada hari yang sama (cut-off time) pada pukul 13.00 WIB sesuai dengan kebijakan dari Bank Kustodian.

### Setiap transaksi penjualan reksa dana di Bibit akan diproses pada hari kerja.
**Hari kerja = ${color}[#00ab6b](Senin-Jum'at)**
**Tanggal merah bursa ${color}[#00ab6b](libur)**

1. **Jika kamu melakukan penjualan di hari Senin sebelum jam 13:00 WIB **
* Transaksi penjualan akan diproses di hari Senin juga.
* Penjualan diverifikasi Manajer Investasi dan mendapat harga reksadana (NAB) sekitar jam 17.00 - 22.00 WIB.
* Penjualan akan berhasil (notifikasi melalui email oleh Bibit) atau status order jual berhasil di halaman transaksi aplikasi Bibit pada hari Selasa sekitar jam 22.00 WIB.
* Proses pencairan dana masuk ke rekening kakak maksimal 7 hari kerja (weekend dan hari libur nasional bukanlah hari kerja) terhitung saat order jual berhasil ya
| Note: Jika ternyata hari Selasa adalah tanggal merah, maka penjualan akan berhasil pada hari Rabu atau hari kerja berikutnya sekitar jam 22.00 WIB.


2. **Jika kamu melakukan penjualan di hari Senin setelah jam 14:00 WIB **
* Transaksi penjualan akan diproses di hari Selasa atau hari berikutnya.
* Penjualan diverifikasi Manajer Investasi dan mendapat harga reksadana (NAB) sekitar jam 17.00 - 22.00 WIB.
* Penjualan akan berhasil (notifikasi melalui email oleh Bibit) atau status order jual berhasil di halaman transaksi aplikasi Bibit pada hari Rabu sekitar jam 22.00 WIB.
* Proses pencairan dana masuk ke rekening kakak maksimal 7 hari kerja (weekend dan hari libur nasional bukanlah hari kerja) terhitung saat order jual berhasil ya
| Note: Jika ternyata hari Rabu adalah tanggal merah, maka penjualan akan berhasil pada hari Kamis atau hari kerja berikutnya sekitar jam 22.00 WIB.

3. **Jika kamu melakukan penjualan di hari Senin antara jam 13:01 - 13:59 WIB**
* Pada jam tersebut sistem bibit sedang melakukan settlemen / penyelesaian transaksi.
* Pihak Bibit tidak dapat memberikan kepastian apakah order kamu akan dilaksanakan di hari yang sama atau keesokan harinya
* Jika Kamu ingin agar order pasti dilaksanakan di hari yang sama, lakukan order penjualan sebelum jam 13:00 WIB
* Jika Kamu ingin agar order pasti dilaksanakan keesokan harinya, lakukan order penjualan setelah jam 14:00 WIB


4. **Jika kamu melakukan penjualan di hari Sabtu/Minggu atau di hari libur nasional**
* Transaksi penjualan akan diproses di hari Senin.
* Penjualan diverifikasi Manajer Investasi dan mendapat harga reksadana (NAB) sekitar jam 17.00 - 22.00 WIB.
* Penjualan akan berhasil (notifikasi melalui email oleh Bibit) atau status order jual berhasil di halaman transaksi aplikasi Bibit pada hari Selasa sekitar jam 22.00 WIB.
* Proses pencairan dana masuk ke rekening kakak maksimal 7 hari kerja (weekend dan hari libur nasional bukanlah hari kerja) terhitung saat order jual berhasil ya
| Note: Jika ternyata hari Selasa adalah tanggal merah, maka penjualan akan berhasil pada hari Rabu atau hari kerja berikutnya sekitar jam 22.00 WIB.


|| Perlu diperhatikan, dana yang kamu terima bisa berbeda dengan nominal penjualan jika rekening bank kamu berbeda dengan rekening bank penampung reksa dana, ada biaya transfer antar bank sebesar Rp 3.500 - Rp 6.500 per reksa dana yang dikenakan oleh pihak bank, bukan dari Bibit.
|| Detail waktu pencairan bisa baca di artikel ini [Kapan Dana Penjualan Masuk Rekening Saya?](/id/article/kapan-dana-penjualan-masuk-rekening-saya-tvfsmy/)

**Baca juga: **
||| [Mengapa Pencairan Reksa Dana Bisa Sampai 7 Hari Kerja?](/id/article/mengapa-pencairan-reksa-dana-bisa-sampai-7-hari-kerja-1xabpne/)",12/19/2018 09:17:26,12/12/2018 07:48:58,10/09/2023 02:50:07
01b3c6c0-b061-45e1-b16a-aadf72175264,panduan-set-pembelian-rutin-nabung-rutin,Panduan Set Pembelian Rutin (Nabung Rutin),,"### Apa itu Fitur Nabung Rutin?
Fitur nabung rutin dibuat untuk membantu kamu melakukan investasi secara konsisten setiap bulan/minggu/hari pada periode yang kamu set di aplikasi Bibit. Untuk membuat suatu komitmen dan mengingatkan kamu supaya tidak lupa berinvestasi.

Fitur nabung rutin ini akan mengirim push notification dan email pada tanggal yang telah kamu set, sekaligus membuat order pembeliannya. Kamu tinggal melakukan pembayaran saja di order yang telah di-set.

### Panduan Set Pembelian Rutin
1. **Klik ${color}[#00ab6b](Nabung Rutin) di halaman home**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_n525qy.png)

# Jika kamu baru selesai tahap registrasi dan kamu ingin set nabung rutin, kamu bisa ke halaman ${color}[#00ab6b](Profil) lalu klik ${color}[#00ab6b](Nabung Rutin)
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_g02ffw.png)

2. **Atur pembelian rutin kamu dengan klik ${color}[#00ab6b](Set Nabung Rutin)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-3_hqzwbl.png)

3. **Pilih ${color}[#00ab6b](Portofolio) dan ${color}[#00ab6b](Produk Reksa Dana), lalu klik ${color}[#00ab6b](Lanjut)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-4_fgct9f.png)

4. **Tentukan ${color}[#00ab6b](Nilai Investasi) dan ${color}[#00ab6b](Metode Pembayaran) nabung rutin kamu, bisa Autodebit, Instant Payment atau Virtual Account, setelah itu bisa klik ${color}[#00ab6b](Lanjut)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-5_1vbgyoa.png)

5. **Tentukan ${color}[#00ab6b](Frekuensi) dan tanggal nabung rutin kamu, setelah itu klik ${color}[#00ab6b](Lanjut)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-6_1n43td5.png)

6. **Kembali cek jadwal nabung rutin kamu, jika sudah sesuai klik ${color}[#00ab6b](Konfirmasi)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-7_uysc5q.png)

7. **Nabung rutin berhasil di-set, nanti setiap tanggal/periode yang kamu set akan ada notifikasi yang dikirimkan oleh Bibit untuk melakukan pembayaran pembelian reksa dana.**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-8_r02jkv.png)

|| **Khusus untuk metode pembayaran Autodebit RDN, Autodebit Jago dan GoPay Autopay, Bibit akan mengirimkan ${color}[#00ab6b](_Reminder_) sehari sebelum hari autodebit**

**Kamu bisa mengubah pengaturan nabung rutin dengan klik tombol ${color}[#00ab6b](Ubah) dan kamu juga bisa menghentikan pembelian rutin autodebit kamu dengan klik tombol ${color}[#00ab6b](Berhenti)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-9_4d5cnn.png)",02/07/2024 08:25:33,02/07/2024 07:53:11,03/08/2024 06:11:30
01e7e943-fd6a-4f0c-87bc-67b4fd010eea,rd-yang-baik,RD yang Baik,,"### Bagaimana Cara Memilih Reksa Dana yang Baik?

Mengingat bahwa 99% masyarakat Indonesia adalah investor pemula, tentunya memilih reksa dana yang bagus di antara ribuan reksa dana di Pasar Modal Indonesia akan terlihat rumit dan membingungkan. Disini Bibit akan membantu kamu memilih reksa dana terbaik sesuai profil risiko kamu.

Bahkan sebelum kita kerjasama dengan Manajer Investasi, kita sudah melakukan analisa dan hanya seleksi manajer investasi dengan track record dan reputasi yang baik. Setelah itu kita bantu riset dan seleksi reksa dana yang cocok untuk investor pemula dan kita masukkan ke list Top Reksa dana kami. Kami ingin investor Indonesia tidak bingung lagi dalam memilih reksa dana dan bisa segera mulai investasi dengan tenang.

### Tinggal Klik Investasi Sekarang 
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_cwagjr.png)

### List Top Reksa Dana 
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_1fcdjsy.png)

|| Tanda jempol berwarna ungu adalah rekomendasi reksa dana dari bibit yang paling sesuai dengan profil risiko yang kamu pilih

|| Tanda Top merupakan pilihan reksa dana berkualitas yang dikurasi per 3 bulan oleh Bibit

Bibit lebih mengutamakan kualitas dibanding kuantitas. Reksa dana sudah kami seleksi per masing-masing jenis reksadana dan yang paling baik kami tampilkan di dalam List Top Reksa Dana.  Kami percaya bahwa list Top Reksa Dana kami sudah kurang lebih yang terbaik di Indonesia. Untuk yang masih bingung, bisa tinggal pilih salah satu diantara 5 top reksa dana yang ada. Kami juga menambahkan jempol di salah satu reksa dana yang paling cocok untuk kamu sesuai dengan profil resiko kamu.

### Bagaimana Cara Bibit Seleksi Reksa Dana yang Baik?
Berikut ini adalah kriteria pemilihan reksa dana di aplikasi Bibit:

1. **Reputasi Manajer Investasi Reksa dana**

Reputasi Manajer Investasi reksa dana menjadi kriteria utama dan terpenting dalam seleksi reksa dana di Bibit. Bibit hanya bekerja sama dengan Manajer Investasi yang telah terbukti memiliki _track record_ dan tata kelola yang baik dalam jangka panjang.

2. **Tingkat Return**

Kita juga memerhatikan _ (return)_ keuntungan namun belum tentu makin tinggi keuntungan itu lebih baik. Kita tidak berfokus terhadap keuntungan jangka pendek semata, kami sangat memperhatikan konsistensi kinerja selama 5 atau 10 tahun kebelakang dan isi Top Holdings dari reksa dana tersebut. Kita juga memperhatikan resiko yang diambil oleh pengelola reksa dana supaya seimbang dengan potensi keuntungan. Mencetak keuntungan secara konsisten dalam jangka panjang menurut kami jauh lebih penting dan jauh lebih susah dari pada keuntungan dalam setahun saja.

3. **Tingkat Resiko**

Setiap instrumen investasi pasti selalu ada resikonya. Semakin besar keuntungan semakin besar pula resikonya _(high return, high risk)_. Dari aplikasi Bibit, kamu bisa mengukur resiko menggunakan _Max Drawdown._

_Max Drawdown_ adalah penurunan maksimum suatu reksa dana dari titik harga tertinggi ke titik harga terendah, sebelum harga tertinggi yang baru tercapai selama periode tertentu. _Max Drawdown_ adalah indikator risiko penurunan dari suatu reksa dana selama jangka waktu tertentu. Jika _Max Drawdown_ suatu reksadana adalah 10% dalam setahun, maka artinya reksa dana tersebut pernah turun paling besar 10% dari titik tertingginya satu tahun terakhir.

Jadi _Max Drawdown _ membantu kamu mengukur apakah resiko reksa dana ini masih bisa kamu terima atau tidak.

4. **Dana Kelolaan (AUM)**

Dana kelolaan atau sering disebut AUM _(Asset Under Management)_ adalah dana yang dikelola oleh reksa dana tersebut. Dana kelolaan bisa digunakan untuk mengukur seberapa besar reksa dana ini dipercaya oleh investor. Semakin besar dana kelolaan reksa dana, maka semakin tinggi juga tingkat kepercayaan investor terhadap kualitas Manajer Investasi reksa dana tersebut.

5. **Expense Ratio**

_Expense Ratio_ mengukur seberapa besar biaya yang dikeluarkan untuk mengelola reksa dana. _Management fees_, Biaya Kustodian, Biaya Trading, Biaya Marketing adalah bagian dari perhitungan _expense ratio_. Lebih kecil _expense ratio_ tersebut mencerminkan kepiawaian Manajer Investasi dalam mengelola reksa dana untuk investornya secara efisien.",,10/04/2023 06:29:31,05/06/2024 06:08:40
03469125-3d8b-4776-bb16-f1ade113fd5d,coba-dari-yang-paling-aman,Coba Dari Yang Paling Aman,,"Untuk pengguna baru bibit setelah akun kamu verified, maka halaman Home pada aplikasi Bibit akan mengarah langsung untuk memulai berinvestasi, halaman tersebut terbagi menjadi 2 pilihan yaitu **Coba Dari Yang Paling Aman & Langsung Buat Portofolio**. Bagi kamu yang masih pemula, kamu bisa mulai dari **Coba Dari Yang Paling Aman**.

1. **Klik ${color}[#06c613](Coba Dari Yang Paling Aman) pada homepage kamu.**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/1_bf9zrd.png)

2. **Setelah kamu klik ${color}[#06c613](Coba Dari Yang Paling Aman) bagi kamu yang beragama Islam dapat memilih bibit syariah (untuk produk syariah) atau bisa klik nanti saja (untuk produk konvensional).**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/2_1367ymh.png)

3. **Jika kamu memilih bibit syariah, kamu diarahkan untuk melakukan pembelian pada produk Reksa Dana Syariah dengan jenis Reksa Dana Pasar Uang yang paling aman. Lalu klik ${color}[#06c613](Beli)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/3_n1bj0q.png)

4. **Setelah memilih Reksa Dana, kamu bisa masukkan nominal yang ingin kamu beli, lalu kamu bisa klik tombol ${color}[#06c613](Beli) untuk melakukan pembelian.**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/4_155006j.png)

5. **Kamu bisa klik ${color}[#06c613](Menyetuji Pembelian) Reksa Dana dan klik ${color}[#06c613](Bayar Sekarang).**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/5_1dmxpfl.png)

6. **Pilih metode pembayaran yang kamu inginkan, setelah itu klik ${color}[#06c613](Bayar) dan lakukan pembayaran Reksa Dana.**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/6_2mf5hf.png)

| Note: Produk Reksa Dana yang kamu beli dari klik ''Coba Dari Yang Paling Aman'' akan masuk ke portofolio Dana Tabungan

Baca juga artikel [Buat Portofolio Untuk Kamu Yang Baru Selesai Registrasi](https://faq.bibit.id/id/article/buat-portofolio-untuk-kamu-yang-baru-selesai-registrasi-8ud0a8/)",07/21/2022 08:16:58,07/21/2022 04:35:52,07/25/2022 04:25:52
0446bd54-1237-4397-b0ca-7a876d9d4bb3,berapa-minimum-investasi-reksa-dana-di-bibit,Berapa Minimum Investasi Reksa Dana di Bibit?,Penjelasan tentang minimum pembelian reksa dana di Bibit,"### Berapa Minimum Pembelian Reksa dana di Bibit?


|| Minimum pembelian di Bibit dimulai dari Rp 10.000 untuk reksa dana tertentu yang dapat kamu pilih
 
|| Untuk pembelian reksa dana menggunakan rekomendasi dari Robo, minimum pembelian dimulai dari Rp 100.000",12/11/2018 06:32:13,12/10/2018 04:37:36,08/20/2019 07:41:50
071615b6-7638-4a0d-a58b-078bb0fceb27,cara-kirim-otp-login-dengan-metode-lain,Cara Kirim OTP Login dengan Metode Lain,Panduan cara mengiririm OTP Login dengan metode lainya,"1. Klik **${color}[#00ab6b](Login.)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_xyfjiz.jpg)

2. Masukkan nomor HP kamu yang terdaftar di Bibit. 
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_1uf26x0.jpg)

3. Pilih metode pengiriman OTP lewat **${color}[#00ab6b](Email)**, **${color}[#00ab6b](Missed Call)** atau **${color}[#00ab6b](SMS)**, lalu klik **${color}[#00ab6b](Pilih.)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-3_1uzdkm7.jpg)

4. OTP akan dikirimkan sesuai metode yang kamu pilih dan input kode OTP.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-4_fweh5w.jpg)

5. Jika tidak terikirim, tunggu sampai waktu pengiriman OTP habis dan Klik **${color}[#00ab6b](Kirim Ulang Kode.)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-5_1o1xeiw.jpg)

6. Pilih metode pengiriman kode lewat **${color}[#00ab6b](Email)** atau **${color}[#00ab6b](WhatsApp)**, lalu klik **${color}[#00ab6b](Pilih.)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-6_1n0wctc.jpg)

7. Masukkan kode OTP yang terkirim.
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-4_ay1e1n.jpg)",03/03/2021 07:54:28,03/03/2021 06:38:22,09/26/2023 03:21:32
076ab405-a2ba-47a0-bde8-7d657a8012f4,dividen-reksa-dana,Dividen Reksa Dana,Pembagian hasil keuntungan yang dibagikan reksa dana kepada nasabahnya. Biasanya dibagikan dalam bentuk unit. ,"# Apa itu Dividen Reksa Dana?
Pembagian hasil keuntungan yang dibagikan reksa dana kepada nasabahnya. Biasanya dibagikan dalam bentuk unit. 

# List Reksa Dana yang Membagikan Dividen
1. Batavia Dana Obligasi Ultima
2. BNI-AM Dana Pendapatan Tetap Syariah Ardhani
3. BNI-AM Dana Pendapatan Tetap Makara Investasi
4. BNI-AM Dana Saham Inspiring Equity Fund
5. BNI-AM Indeks IDX30
6. BNI-AM Short Duration Bond Index
7. Eastspring Investments Yield Discovery Kelas A
8. Manulife Obligasi Unggulan Kelas A
9. Principal Total Return Bond Fund
10. Schroder Dana Mantap Plus II

# Istilah Cum Date dan Ex Data pada Pembagian Dividen
1. Cum Date: Cumulative Date merupakan tanggal penentuan terakhir bagi para investor apakah berhak menerima dividen atau tidak.

2. Ex Date: Expired Date merupakan tanggal pertama kadaluarsa, jadi para investor yang membeli produk Reksa Dana yang membagikan pada tanggal ini tidak berhak mendapatkan dividen.

# Pengaruh Pembagian Dividen terhadap NAV
Ketika Reksa Dana membagikan dividen maka harga (NAV) turun. Walaupun NAV nya turun, investor pemegang Reksa Dana sebenarnya tidak rugi karena investor dapat tambahan unit Reksa Dana di portofolio sebagai gantinya.

Karena NAV turun saat membagikan dividen. Maka grafik NAV Reksa Dana tidak menunjukkan performa sesungguhnya. 

**Contoh seperti dibawah ini:**

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-5_3m0dbd.png)

Akibatnya calon investor bakal salah persepsi saat melihat grafiknya. 

|| Sekarang Bibit menampilkan performa Reksa Dana sesungguhnya. Dividen yang dibagikan juga diperhitungkan.

![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-6_1nsa3xt.png)

# Panduan Melihat Performa Reksa Dana Sesungguhnya
1. Klik **${color}[#00ab6b](tanda panah)**, di sebelah tulisan **${color}[#00ab6b](CAGR)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-1_ijc1ee.png)

2. Kamu bisa melihat **${color}[#00ab6b](performa Reksa Dana sesungguhnya)** pada **${color}[#00ab6b](Return [Dividen Adjusted])** dan **${color}[#00ab6b](warna grafik hijau.)**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-2_hsztep.png)

3. **${color}[#00ab6b](Scroll ke bawah)**, kamu bisa melihat **${color}[#00ab6b](informasi tambahan)** mengenai fitur ini 
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-3_17m0tx4.png)

# Cara Cek Riwayat Pembagian Dividen
Masuk ke halaman reksa dana yang rutin membagikan dividen, lalu cek di kolom **${color}[#00ab6b](Pembagian Dividen).**
![](https://storage.crisp.chat/users/helpdesk/website/4538da5be8a77000/gambar-4_qknb2l.png)

# Informasi Lainnya
|| Jika kamu memiliki produk yang sedang membagikan Dividen di beberapa portofolio maka Dividen yang kamu terima akan masuk ke **satu portofolio** kamu yang telah ditentukan oleh Bibit.",08/31/2021 02:55:16,08/31/2021 00:13:04,06/27/2024 04:27:19
